student_id,Original_ID,Gender,Grade,Question,Answer,Type,TotalScore
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,학습 어려움,0,학교생활적응 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,재산 관련 비행,0,외현화 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,게임 과몰입,0,외현화 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,관계 형성 곤란,0,학교생활적응 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,등교 거부,0,학교생활적응 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,괴롭힘 피해,0,심리외상 문제,9
학생14 ,-ObjRKqsBMd8u1catlPi,girl,2학년,따돌림 피해,0,심리외상 문제,9
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,사회적 긴장,1,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,감정 기복,1,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,과도한 죄책감,1,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,과민성/짜증,2,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,낮은 자존감,2,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,무기력/피로,2,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,예기 불안,2,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,과도한 불안,2,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,우울 증상,2,불안 및 우울 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,수면 문제,1,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,자살 사고,2,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,자해 행동,0,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,자살 계획,2,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,심각한 자살사고,1,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,절망감,2,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,자살 시도,0,자살 및 위기 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,빈번한 거짓말,1,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,또래 갈등,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,반항 행동,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,괴롭힘 가해,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,외상 침습증상,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,외상 관련 악몽,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,외상 후 고립,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,외상 후 과각성,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,외상 회피행동,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,흡연 문제,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,음주 문제,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,적응력 저하,1,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,분리 불안,0,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,학습 어려움,1,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,재산 관련 비행,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,게임 과몰입,0,외현화 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,관계 형성 곤란,1,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,등교 거부,1,학교생활적응 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,괴롭힘 피해,0,심리외상 문제,28
학생140 ,-ObjRqioIq_VRDvHI6Dj,girl,1학년,따돌림 피해,0,심리외상 문제,28
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,사회적 긴장,0,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,감정 기복,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,과도한 죄책감,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,과민성/짜증,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,낮은 자존감,1,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,무기력/피로,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,예기 불안,2,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,과도한 불안,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,우울 증상,1,불안 및 우울 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,수면 문제,2,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,자살 사고,1,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,자해 행동,0,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,자살 계획,0,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,심각한 자살사고,0,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,절망감,0,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,자살 시도,0,자살 및 위기 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,빈번한 거짓말,1,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,또래 갈등,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,반항 행동,1,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,괴롭힘 가해,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,외상 침습증상,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,외상 관련 악몽,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,외상 후 고립,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,외상 후 과각성,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,외상 회피행동,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,흡연 문제,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,음주 문제,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,적응력 저하,0,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,분리 불안,0,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,학습 어려움,1,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,재산 관련 비행,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,게임 과몰입,0,외현화 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,관계 형성 곤란,1,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,등교 거부,1,학교생활적응 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,괴롭힘 피해,0,심리외상 문제,17
학생141 ,-ObjRqq1jsAT9PIuiC6d,boy,3학년,따돌림 피해,0,심리외상 문제,17
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,사회적 긴장,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,감정 기복,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,과도한 죄책감,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,과민성/짜증,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,낮은 자존감,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,무기력/피로,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,예기 불안,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,과도한 불안,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,우울 증상,2,불안 및 우울 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,수면 문제,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,자살 사고,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,자해 행동,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,자살 계획,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,심각한 자살사고,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,절망감,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,자살 시도,2,자살 및 위기 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,빈번한 거짓말,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,또래 갈등,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,반항 행동,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,괴롭힘 가해,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,외상 침습증상,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,외상 관련 악몽,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,외상 후 고립,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,외상 후 과각성,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,외상 회피행동,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,흡연 문제,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,음주 문제,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,적응력 저하,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,분리 불안,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,학습 어려움,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,재산 관련 비행,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,게임 과몰입,2,외현화 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,관계 형성 곤란,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,등교 거부,2,학교생활적응 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,괴롭힘 피해,2,심리외상 문제,72
학생142 ,-ObjRqsrCZDr2jkxSye4,girl,1학년,따돌림 피해,2,심리외상 문제,72
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,사회적 긴장,2,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,감정 기복,3,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,과도한 죄책감,1,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,과민성/짜증,2,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,낮은 자존감,2,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,무기력/피로,2,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,예기 불안,1,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,과도한 불안,1,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,우울 증상,0,불안 및 우울 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,수면 문제,0,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,자살 사고,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,자해 행동,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,자살 계획,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,심각한 자살사고,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,절망감,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,자살 시도,0,자살 및 위기 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,빈번한 거짓말,1,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,또래 갈등,1,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,반항 행동,1,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,괴롭힘 가해,0,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,외상 침습증상,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,외상 관련 악몽,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,외상 후 고립,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,외상 후 과각성,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,외상 회피행동,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,흡연 문제,0,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,음주 문제,0,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,적응력 저하,0,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,분리 불안,0,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,학습 어려움,1,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,재산 관련 비행,0,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,게임 과몰입,1,외현화 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,관계 형성 곤란,0,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,등교 거부,0,학교생활적응 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,괴롭힘 피해,0,심리외상 문제,19
학생143 ,-ObjRqwApDUbvHXOxCl-,boy,2학년,따돌림 피해,0,심리외상 문제,19
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,사회적 긴장,0,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,감정 기복,1,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,과도한 죄책감,0,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,과민성/짜증,0,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,낮은 자존감,1,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,무기력/피로,3,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,예기 불안,2,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,과도한 불안,2,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,우울 증상,1,불안 및 우울 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,수면 문제,1,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,자살 사고,0,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,자해 행동,0,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,자살 계획,0,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,심각한 자살사고,0,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,절망감,1,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,자살 시도,0,자살 및 위기 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,빈번한 거짓말,2,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,또래 갈등,0,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,반항 행동,1,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,괴롭힘 가해,0,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,외상 침습증상,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,외상 관련 악몽,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,외상 후 고립,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,외상 후 과각성,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,외상 회피행동,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,흡연 문제,0,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,음주 문제,0,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,적응력 저하,1,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,분리 불안,0,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,학습 어려움,1,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,재산 관련 비행,0,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,게임 과몰입,1,외현화 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,관계 형성 곤란,0,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,등교 거부,0,학교생활적응 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,괴롭힘 피해,0,심리외상 문제,18
학생144 ,-ObjRrH92ATAKVGY0DLg,boy,1학년,따돌림 피해,0,심리외상 문제,18
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,사회적 긴장,1,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,감정 기복,1,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,과도한 죄책감,2,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,과민성/짜증,1,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,낮은 자존감,1,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,무기력/피로,1,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,예기 불안,3,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,과도한 불안,3,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,우울 증상,1,불안 및 우울 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,수면 문제,0,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,자살 사고,0,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,자해 행동,0,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,자살 계획,0,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,심각한 자살사고,1,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,절망감,0,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,자살 시도,0,자살 및 위기 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,빈번한 거짓말,1,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,또래 갈등,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,반항 행동,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,괴롭힘 가해,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,외상 침습증상,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,외상 관련 악몽,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,외상 후 고립,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,외상 후 과각성,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,외상 회피행동,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,흡연 문제,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,음주 문제,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,적응력 저하,0,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,분리 불안,0,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,학습 어려움,0,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,재산 관련 비행,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,게임 과몰입,0,외현화 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,관계 형성 곤란,0,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,등교 거부,1,학교생활적응 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,괴롭힘 피해,0,심리외상 문제,17
학생145 ,-ObjRrKloA7Hivtar1WJ,girl,1학년,따돌림 피해,0,심리외상 문제,17
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,사회적 긴장,1,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,감정 기복,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,과도한 죄책감,0,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,과민성/짜증,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,낮은 자존감,1,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,무기력/피로,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,예기 불안,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,과도한 불안,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,우울 증상,2,불안 및 우울 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,수면 문제,2,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,자살 사고,2,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,자해 행동,0,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,자살 계획,0,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,심각한 자살사고,1,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,절망감,0,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,자살 시도,0,자살 및 위기 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,빈번한 거짓말,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,또래 갈등,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,반항 행동,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,괴롭힘 가해,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,외상 침습증상,0,심리외상 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,외상 관련 악몽,0,심리외상 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,외상 후 고립,0,심리외상 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,외상 후 과각성,0,심리외상 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,외상 회피행동,0,심리외상 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,흡연 문제,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,음주 문제,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,적응력 저하,0,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,분리 불안,0,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,학습 어려움,0,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,재산 관련 비행,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,게임 과몰입,0,외현화 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,관계 형성 곤란,0,학교생활적응 문제,19
학생146 ,-ObjRrQ4aLriGU-7DSeB,girl,1학년,등교 거부,0,학교생활적응 문제,19
